news_headline,news_article,news_category,full_text,clean_text
Airtel network aims to enable smooth e-learning experience amid lockdown,"As learning gets rebooted during the lockdown, Airtel seeks to help India reimagine education with its high-quality data network. As per a report by Opensignal, Airtel offers the best Video Experience and the best Download Speed Experience compared to other network providers in India. With high video-call quality and no laggy video, students and professionals can now experience quality e-learning.",technology,"Airtel network aims to enable smooth e-learning experience amid lockdown. As learning gets rebooted during the lockdown, Airtel seeks to help India reimagine education with its high-quality data network. As per a report by Opensignal, Airtel offers the best Video Experience and the best Download Speed Experience compared to other network providers in India. With high video-call quality and no laggy video, students and professionals can now experience quality e-learning.",airtel network aim enable smooth e learn experience amid lockdown learning get reboot lockdown airtel seek help india reimagine education high quality datum network per report opensignal airtel offer good video experience good download speed experience compare network provider india high video call quality no laggy video student professional experience quality e learning
8-10 of the 115 COVID-19 vaccine candidates look promising: Bill Gates,"Billionaire philanthropist Bill Gates has said he thinks eight to ten of the current 115  COVID-19 vaccine candidates look promising. In order to stop the pandemic, Gates said a vaccine needs to be offered to almost every person on the planet. A vaccine could take as little as nine months or as long as two years to develop, he added.",technology,"8-10 of the 115 COVID-19 vaccine candidates look promising: Bill Gates. Billionaire philanthropist Bill Gates has said he thinks eight to ten of the current 115  COVID-19 vaccine candidates look promising. In order to stop the pandemic, Gates said a vaccine needs to be offered to almost every person on the planet. A vaccine could take as little as nine months or as long as two years to develop, he added.",covid vaccine candidate look promising bill gates billionaire philanthropist bill gates say think eight ten current covid vaccine candidate look promising order stop pandemic gates say vaccine need offer almost every person planet vaccine could take little nine month long two year develop add
Amazon predicts up to $1.5 billion loss in Q2 due to $4 billion in COVID-19 costs,"Amazon said it could post its first quarterly loss in five years while it spends $4 billion on COVID-19-related costs. Amazon forecasted its second-quarter operating income to range from $1.5-billion loss to $1.5-billion profit, even as revenue is expected to grow 28% to $81 billion. The company's first-quarter revenue grew 26% to $75.5 billion, while profits fell to $2.5 billion.",technology,"Amazon predicts up to $1.5 billion loss in Q2 due to $4 billion in COVID-19 costs. Amazon said it could post its first quarterly loss in five years while it spends $4 billion on COVID-19-related costs. Amazon forecasted its second-quarter operating income to range from $1.5-billion loss to $1.5-billion profit, even as revenue is expected to grow 28% to $81 billion. The company's first-quarter revenue grew 26% to $75.5 billion, while profits fell to $2.5 billion.",amazon predict billion loss q due billion covid cost amazon say could post first quarterly loss five year spend billion covidrelated cost amazon forecast second quarter operating income range billion loss billion profit even revenue expect grow billion companys first quarter revenue grow billion profit fall billion
Japan aquarium asks public to video-call eels who are 'forgetting' humans exist,"A Japan-based aquarium, which closed to the public in March due to lockdown, has urged the public to video-chat with its 300 garden eels. ""They don't see humans, except keepers...They have started forgetting about humans,"" Sumida Aquarium tweeted. Getting accustomed to not seeing people, the eels have started hiding from keepers, making it difficult to monitor their health, it said.",technology,"Japan aquarium asks public to video-call eels who are 'forgetting' humans exist. A Japan-based aquarium, which closed to the public in March due to lockdown, has urged the public to video-chat with its 300 garden eels. ""They don't see humans, except keepers...They have started forgetting about humans,"" Sumida Aquarium tweeted. Getting accustomed to not seeing people, the eels have started hiding from keepers, making it difficult to monitor their health, it said.",japan aquarium ask public video call eel forget human exist japan base aquarium close public march due lockdown urge public video chat garden eel not see human except keeper start forget human sumida aquarium tweet get accustomed not see people eel start hide keeper make difficult monitor health say
Global smartphone market suffers the largest ever fall in shipments in Q1,"Global smartphone shipments witnessed their worst ever decline in the first quarter due to the impact of COVID-19 on consumption and production. According to market tracker Strategy Analytics, smartphone shipments stood at about 275 million in the first three months of 2020, down 17% compared to the same period last year. Meanwhile, Counterpoint Research estimated the overall decline at 13%.
",technology,"Global smartphone market suffers the largest ever fall in shipments in Q1. Global smartphone shipments witnessed their worst ever decline in the first quarter due to the impact of COVID-19 on consumption and production. According to market tracker Strategy Analytics, smartphone shipments stood at about 275 million in the first three months of 2020, down 17% compared to the same period last year. Meanwhile, Counterpoint Research estimated the overall decline at 13%.
",global smartphone market suffer large ever fall shipment q global smartphone shipment witness bad ever decline first quarter due impact covid consumption production accord market tracker strategy analytic smartphone shipment stand million first three month compare period last year meanwhile counterpoint research estimate overall decline
"Elon Musk says Tesla's share price is too high, company loses $14 billion value","Shares of Tesla tumbled around 10% on Friday wiping $14 billion off the carmaker's market value after CEO Elon Musk tweeted that its share price was too high. The tweet also wiped nearly $3 billion from the value of Musk's stake. Asked whether he was joking or whether his tweet was vetted before posting, Musk told Wall Street Journal, ""No"".",technology,"Elon Musk says Tesla's share price is too high, company loses $14 billion value. Shares of Tesla tumbled around 10% on Friday wiping $14 billion off the carmaker's market value after CEO Elon Musk tweeted that its share price was too high. The tweet also wiped nearly $3 billion from the value of Musk's stake. Asked whether he was joking or whether his tweet was vetted before posting, Musk told Wall Street Journal, ""No"".",elon musk say teslas share price high company lose billion value share tesla tumble around friday wipe billion carmaker market value ceo elon musk tweet share price high tweet also wipe nearly billion value musks stake ask whether joke whether tweet vet post musk tell wall street journal no
Jio Platforms gets interest from global investors for deal similar to Facebook,"After selling a 10% stake in its digital arm Jio Platforms to Facebook, Reliance Industries said it has received additional interest from global investors for a similar-sized stake. The Mukesh Ambani-led conglomerate said that an announcement could be made in coming months. Facebook agreed to invest $5.7 billion for the stake in its biggest deal since the acquisition of WhatsApp.",technology,"Jio Platforms gets interest from global investors for deal similar to Facebook. After selling a 10% stake in its digital arm Jio Platforms to Facebook, Reliance Industries said it has received additional interest from global investors for a similar-sized stake. The Mukesh Ambani-led conglomerate said that an announcement could be made in coming months. Facebook agreed to invest $5.7 billion for the stake in its biggest deal since the acquisition of WhatsApp.",jio platform get interest global investor deal similar facebook sell stake digital arm jio platform facebook reliance industry say receive additional interest global investor similar sized stake mukesh ambani lead conglomerate say announcement could make coming month facebook agree invest billion stake big deal since acquisition whatsapp
Pak operatives use fake Aarogya Setu app to target Indian Army personnel,"The Indian Army has warned its personnel against Pakistani agencies' attempts to hack their phones through a malicious application similar to the Aarogya Setu app. They have developed a malicious app by the name Aarogya Setu.apk. ""Such apps were found to be sent by Pakistani Intelligence Operatives to WhatsApp groups of Indian Army personnel,"" the Army warned.",technology,"Pak operatives use fake Aarogya Setu app to target Indian Army personnel. The Indian Army has warned its personnel against Pakistani agencies' attempts to hack their phones through a malicious application similar to the Aarogya Setu app. They have developed a malicious app by the name Aarogya Setu.apk. ""Such apps were found to be sent by Pakistani Intelligence Operatives to WhatsApp groups of Indian Army personnel,"" the Army warned.",pak operative use fake aarogya setu app target indian army personnel indian army warn personnel pakistani agency attempt hack phone malicious application similar aarogya setu app develop malicious app name aarogya setu apk app find send pakistani intelligence operative whatsapp group indian army personnel army warn
You're a disgrace: Ariana Grande's mom to Elon Musk over 'Free America' tweet,"Ariana Grande's mother Joan Grande said Elon Musk is ""incredibly irresponsible"" and a ""disgrace"" after the Tesla CEO posted the 'FREE AMERICA NOW' tweet on Wednesday. ""You think you are a person of science and technology...you're a disgrace...and now I have to get rid of my TESLAs...oh well...oh...and you clearly are not very smart! #BoycottTesla,"" she tweeted. ",technology,"You're a disgrace: Ariana Grande's mom to Elon Musk over 'Free America' tweet. Ariana Grande's mother Joan Grande said Elon Musk is ""incredibly irresponsible"" and a ""disgrace"" after the Tesla CEO posted the 'FREE AMERICA NOW' tweet on Wednesday. ""You think you are a person of science and technology...you're a disgrace...and now I have to get rid of my TESLAs...oh well...oh...and you clearly are not very smart! #BoycottTesla,"" she tweeted. ",disgrace ariana grande mom elon musk free america tweet ariana grandes mother joan grande say elon musk incredibly irresponsible disgrace tesla ceo post free america tweet wednesday think person science technology disgrace get rid tesla oh well oh clearly not smart boycotttesla tweet
Apple shipped 7.5 mn face shields to healthcare staff worldwide: Cook,Apple CEO Tim Cook has revealed that Apple shipped a total of 7.5 million face shields for medical workers around the world. The company is continuing to construct and ship one million face shields each week. It has also sourced and donated over 20 million N95 masks to healthcare workers worldwide.,technology,Apple shipped 7.5 mn face shields to healthcare staff worldwide: Cook. Apple CEO Tim Cook has revealed that Apple shipped a total of 7.5 million face shields for medical workers around the world. The company is continuing to construct and ship one million face shields each week. It has also sourced and donated over 20 million N95 masks to healthcare workers worldwide.,apple ship mn face shield healthcare staff worldwide cook apple ceo tim cook reveal apple ship total million face shield medical worker around world company continue construct ship one million face shield week also source donate million n mask healthcare worker worldwide
